633node.txt
Всего оболочек: 37
(0, 35575.03915800004)
(1, 34434.499549500004)
(2, 33432.426334499934)
(3, 32392.40186449996)
(4, 31319.059212000022)
(5, 29991.531372499987)
(6, 28839.25366349994)
(7, 27292.821912499974)
(8, 26129.13164899993)
(9, 24946.754752499968)
(10, 23351.99410400007)
(11, 22083.793403999924)
(12, 20924.28404599997)
(13, 19606.679142999987)
(14, 18532.943180499948)
(15, 17094.837900499886)
(16, 15963.692600999959)
(17, 15059.523329500022)
(18, 14124.558786500013)
(19, 12833.77059400003)
(20, 11549.444004999881)
(21, 10452.938735500065)
(22, 8940.514544500038)
(23, 7445.925091499928)
(24, 6303.755556499993)
(25, 5243.885729000031)
(26, 4648.361251500086)
(27, 3920.767653500021)
(28, 3261.364285999938)
(29, 2765.2740104999975)
(30, 2187.645119999943)
(31, 1759.9613619999727)
(32, 1227.3085565000074)
(33, 821.3372944999719)
(34, 370.8770214999968)
(35, 112.3110615000187)
(36, 0.0)
